2026-06-04 19:53:49,692 [INFO] scripts.optimize_target |   [13/30] Sharpe=-1.14 收益=-15.10% 交易=202
2026-06-04 19:53:49,692 [INFO] scripts.optimize_target |   [14/30] Sharpe=0.57 收益=69.87% 交易=2340
2026-06-04 19:53:49,692 [INFO] scripts.optimize_target |   [15/30] Sharpe=-1.02 收益=-9.83% 交易=94
2026-06-04 19:53:49,692 [INFO] scripts.optimize_target |   [16/30] Sharpe=-0.81 收益=-14.80% 交易=146
2026-06-04 19:53:49,692 [INFO] scripts.optimize_target |   [17/30] Sharpe=1.38 收益=355.08% 交易=2449
2026-06-04 19:53:49,692 [INFO] scripts.optimize_target |   [18/30] Sharpe=-1.20 收益=-13.81% 交易=131
2026-06-04 19:53:49,692 [INFO] scripts.optimize_target |   [19/30] Sharpe=-0.61 收益=-6.87% 交易=109
2026-06-04 19:53:49,692 [INFO] scripts.optimize_target |   [20/30] Sharpe=-1.24 收益=-12.99% 交易=137
2026-06-04 19:53:49,692 [INFO] scripts.optimize_target |   [21/30] Sharpe=-0.96 收益=-15.28% 交易=375
2026-06-04 19:53:49,692 [INFO] scripts.optimize_target |   [22/30] Sharpe=-0.36 收益=-11.27% 交易=848
2026-06-04 19:53:49,692 [INFO] scripts.optimize_target |   [23/30] Sharpe=-0.60 收益=-5.47% 交易=83
2026-06-04 19:53:49,692 [INFO] scripts.optimize_target |   [24/30] Sharpe=-0.71 收益=-11.59% 交易=201
2026-06-04 19:53:49,692 [INFO] scripts.optimize_target |   [25/30] Sharpe=1.16 收益=127.57% 交易=1379
2026-06-04 19:53:49,692 [INFO] scripts.optimize_target |   [26/30] Sharpe=-0.58 收益=-6.83% 交易=106
2026-06-04 19:53:49,693 [INFO] scripts.optimize_target |   [27/30] Sharpe=1.31 收益=90.57% 交易=2158
2026-06-04 19:53:49,693 [INFO] scripts.optimize_target |   [28/30] Sharpe=3.59 收益=8509.84% 交易=2623
2026-06-04 19:53:49,693 [INFO] scripts.optimize_target |   [29/30] Sharpe=-0.92 收益=-13.72% 交易=164
2026-06-04 19:53:49,693 [INFO] scripts.optimize_target |   [30/30] Sharpe=0.12 收益=26.45% 交易=1704
2026-06-04 19:53:49,730 [INFO] scripts.optimize_target | 总交易数: 22636 笔
2026-06-04 19:53:53,028 [INFO] scripts.optimize_target | 纸带已写入: outputs\optimize_target\paper_tape.parquet (22636 笔交易)
2026-06-04 19:53:53,029 [INFO] scripts.optimize_target | 参数组合已写入: outputs\optimize_target\run_params.json
2026-06-04 19:53:53,030 [INFO] scripts.optimize_target | 元数据已写入: outputs\optimize_target\meta.json
2026-06-04 19:53:53,030 [INFO] scripts.optimize_target | 
============================================================
2026-06-04 19:53:53,030 [INFO] scripts.optimize_target | 纸带包含 22636 笔交易
2026-06-04 19:53:53,030 [INFO] scripts.optimize_target | 运行时将实时归因 —— 打字机模式自进化
2026-06-04 19:53:53,030 [INFO] scripts.optimize_target | ============================================================
2026-06-04 21:01:21,645 [INFO] scripts.optimize_target | ============================================================
2026-06-04 21:01:21,646 [INFO] scripts.optimize_target | 打字机初始化采样
2026-06-04 21:01:21,646 [INFO] scripts.optimize_target |   区间: 2026-05-01 ~ 2026-06-04
2026-06-04 21:01:21,646 [INFO] scripts.optimize_target |   参数数: 7
2026-06-04 21:01:21,646 [INFO] scripts.optimize_target |   采样组数: 3
2026-06-04 21:01:21,646 [INFO] scripts.optimize_target |   并行进程: 3
2026-06-04 21:01:21,646 [INFO] scripts.optimize_target | ============================================================
2026-06-04 21:01:21,646 [INFO] scripts.optimize_target | 已生成 3 组随机参数
2026-06-04 21:01:55,675 [INFO] scripts.optimize_target |   [1/3] Sharpe=14.62 收益=5.02% 交易=5
2026-06-04 21:01:55,675 [INFO] scripts.optimize_target |   [2/3] Sharpe=11.78 收益=4.89% 交易=2
2026-06-04 21:01:55,675 [INFO] scripts.optimize_target |   [3/3] Sharpe=1.18 收益=1.44% 交易=10
2026-06-04 21:01:55,675 [INFO] scripts.optimize_target | 总交易数: 17 笔
2026-06-04 21:01:55,706 [INFO] scripts.optimize_target | 纸带已写入: outputs\optimize_target\paper_tape.parquet (17 笔交易)
2026-06-04 21:01:55,706 [INFO] scripts.optimize_target | 参数组合已写入: outputs\optimize_target\run_params.json
2026-06-04 21:01:55,707 [INFO] scripts.optimize_target | 元数据已写入: outputs\optimize_target\meta.json
2026-06-04 21:01:55,707 [INFO] scripts.optimize_target | 
============================================================
2026-06-04 21:01:55,707 [INFO] scripts.optimize_target | 纸带包含 17 笔交易
2026-06-04 21:01:55,707 [INFO] scripts.optimize_target | 运行时将实时归因 —— 打字机模式自进化
2026-06-04 21:01:55,707 [INFO] scripts.optimize_target | ============================================================
2026-06-04 21:05:37,505 [INFO] scripts.optimize_target | ============================================================
2026-06-04 21:05:37,505 [INFO] scripts.optimize_target | 打字机初始化采样
2026-06-04 21:05:37,505 [INFO] scripts.optimize_target |   区间: 2026-05-01 ~ 2026-06-04
2026-06-04 21:05:37,506 [INFO] scripts.optimize_target |   参数数: 7
2026-06-04 21:05:37,506 [INFO] scripts.optimize_target |   采样组数: 2
2026-06-04 21:05:37,506 [INFO] scripts.optimize_target |   并行进程: 2
2026-06-04 21:05:37,506 [INFO] scripts.optimize_target | ============================================================
2026-06-04 21:05:37,517 [INFO] scripts.optimize_target | 已生成 2 组随机参数
2026-06-04 21:05:52,045 [INFO] scripts.optimize_target | 原始回测结果已保存: outputs\optimize_target\raw_results.pkl
2026-06-04 21:05:52,045 [INFO] scripts.optimize_target |   [1/2] Sharpe=18.12 收益=8.94% 交易=7
2026-06-04 21:05:52,045 [INFO] scripts.optimize_target |   [2/2] Sharpe=24.03 收益=11.25% 交易=5
2026-06-04 21:05:52,046 [INFO] scripts.optimize_target | 总交易数: 12 笔
2026-06-04 21:05:52,072 [INFO] scripts.optimize_target | 纸带已写入: outputs\optimize_target\paper_tape.parquet (12 笔交易)
2026-06-04 21:05:52,073 [INFO] scripts.optimize_target | 参数组合已写入: outputs\optimize_target\run_params.json
2026-06-04 21:05:52,074 [INFO] scripts.optimize_target | 元数据已写入: outputs\optimize_target\meta.json
2026-06-04 21:05:52,074 [INFO] scripts.optimize_target | 
============================================================
2026-06-04 21:05:52,074 [INFO] scripts.optimize_target | 纸带包含 12 笔交易
2026-06-04 21:05:52,074 [INFO] scripts.optimize_target | 运行时将实时归因 —— 打字机模式自进化
2026-06-04 21:05:52,074 [INFO] scripts.optimize_target | ============================================================
2026-06-04 21:06:05,437 [INFO] scripts.optimize_target | ============================================================
2026-06-04 21:06:05,437 [INFO] scripts.optimize_target | 打字机初始化采样
2026-06-04 21:06:05,437 [INFO] scripts.optimize_target |   区间: 2025-01-01 ~ 2026-06-04
2026-06-04 21:06:05,437 [INFO] scripts.optimize_target |   参数数: 7
2026-06-04 21:06:05,438 [INFO] scripts.optimize_target |   采样组数: 30
2026-06-04 21:06:05,438 [INFO] scripts.optimize_target |   并行进程: 3
2026-06-04 21:06:05,438 [INFO] scripts.optimize_target | ============================================================
2026-06-04 21:06:05,439 [INFO] scripts.optimize_target | 已生成 30 组随机参数
2026-06-04 21:40:13,385 [INFO] scripts.optimize_target | 原始回测结果已保存: outputs\optimize_target\raw_results.pkl
2026-06-04 21:40:13,386 [INFO] scripts.optimize_target |   [1/30] Sharpe=2.40 收益=44.64% 交易=544
2026-06-04 21:40:13,386 [INFO] scripts.optimize_target |   [2/30] Sharpe=0.27 收益=9.87% 交易=184
2026-06-04 21:40:13,386 [INFO] scripts.optimize_target |   [3/30] Sharpe=-1.94 收益=-18.12% 交易=243
2026-06-04 21:40:13,386 [INFO] scripts.optimize_target |   [4/30] Sharpe=4.40 收益=229.97% 交易=469
2026-06-04 21:40:13,386 [INFO] scripts.optimize_target |   [5/30] Sharpe=1.86 收益=47.67% 交易=746
2026-06-04 21:40:13,386 [INFO] scripts.optimize_target |   [6/30] Sharpe=-1.62 收益=-18.54% 交易=319
2026-06-04 21:40:13,386 [INFO] scripts.optimize_target |   [7/30] Sharpe=4.01 收益=110.67% 交易=529
2026-06-04 21:40:13,386 [INFO] scripts.optimize_target |   [8/30] Sharpe=-1.34 收益=-10.24% 交易=494
2026-06-04 21:40:13,386 [INFO] scripts.optimize_target |   [9/30] Sharpe=0.24 收益=8.47% 交易=312
2026-06-04 21:40:13,386 [INFO] scripts.optimize_target |   [10/30] Sharpe=-0.45 收益=-3.82% 交易=271
2026-06-04 21:40:13,386 [INFO] scripts.optimize_target |   [11/30] Sharpe=0.25 收益=10.36% 交易=382
2026-06-04 21:40:13,386 [INFO] scripts.optimize_target |   [12/30] Sharpe=2.91 收益=145.79% 交易=530
2026-06-04 21:40:13,386 [INFO] scripts.optimize_target |   [13/30] Sharpe=-0.35 收益=-4.46% 交易=444
2026-06-04 21:40:13,387 [INFO] scripts.optimize_target |   [14/30] Sharpe=-1.25 收益=-13.40% 交易=114
2026-06-04 21:40:13,387 [INFO] scripts.optimize_target |   [15/30] Sharpe=3.33 收益=37.99% 交易=594
2026-06-04 21:40:13,387 [INFO] scripts.optimize_target |   [16/30] Sharpe=-0.67 收益=-9.74% 交易=140
2026-06-04 21:40:13,387 [INFO] scripts.optimize_target |   [17/30] Sharpe=-0.18 收益=-4.76% 交易=236
2026-06-04 21:40:13,387 [INFO] scripts.optimize_target |   [18/30] Sharpe=1.52 收益=55.35% 交易=452
2026-06-04 21:40:13,387 [INFO] scripts.optimize_target |   [19/30] Sharpe=1.66 收益=84.91% 交易=393
2026-06-04 21:40:13,387 [INFO] scripts.optimize_target |   [20/30] Sharpe=2.98 收益=114.33% 交易=550
2026-06-04 21:40:13,387 [INFO] scripts.optimize_target |   [21/30] Sharpe=5.20 收益=224.18% 交易=689
2026-06-04 21:40:13,387 [INFO] scripts.optimize_target |   [22/30] Sharpe=-1.19 收益=-9.64% 交易=76
2026-06-04 21:40:13,387 [INFO] scripts.optimize_target |   [23/30] Sharpe=-0.72 收益=-9.55% 交易=303
2026-06-04 21:40:13,387 [INFO] scripts.optimize_target |   [24/30] Sharpe=2.66 收益=154.17% 交易=479
2026-06-04 21:40:13,387 [INFO] scripts.optimize_target |   [25/30] Sharpe=-0.09 收益=-0.56% 交易=251
2026-06-04 21:40:13,387 [INFO] scripts.optimize_target |   [26/30] Sharpe=1.40 收益=60.60% 交易=403
2026-06-04 21:40:13,387 [INFO] scripts.optimize_target |   [27/30] Sharpe=0.82 收益=9.08% 交易=578
2026-06-04 21:40:13,387 [INFO] scripts.optimize_target |   [28/30] Sharpe=0.49 收益=14.47% 交易=555
2026-06-04 21:40:13,387 [INFO] scripts.optimize_target |   [29/30] Sharpe=-0.45 收益=-10.74% 交易=174
2026-06-04 21:40:13,387 [INFO] scripts.optimize_target |   [30/30] Sharpe=-1.70 收益=-16.56% 交易=313
2026-06-04 21:40:13,518 [INFO] scripts.optimize_target | 总交易数: 11767 笔
2026-06-04 21:40:15,175 [INFO] scripts.optimize_target | 纸带已写入: outputs\optimize_target\paper_tape.parquet (11767 笔交易)
2026-06-04 21:40:15,176 [INFO] scripts.optimize_target | 参数组合已写入: outputs\optimize_target\run_params.json
2026-06-04 21:40:15,177 [INFO] scripts.optimize_target | 元数据已写入: outputs\optimize_target\meta.json
2026-06-04 21:40:15,177 [INFO] scripts.optimize_target | 
============================================================
2026-06-04 21:40:15,177 [INFO] scripts.optimize_target | 纸带包含 11767 笔交易
2026-06-04 21:40:15,177 [INFO] scripts.optimize_target | 运行时将实时归因 —— 打字机模式自进化
2026-06-04 21:40:15,177 [INFO] scripts.optimize_target | ============================================================
2026-06-04 21:49:45,990 [INFO] scripts.optimize_target | ============================================================
2026-06-04 21:49:45,990 [INFO] scripts.optimize_target | 打字机纸带重提取模式（跳过回测）
2026-06-04 21:49:45,990 [INFO] scripts.optimize_target | ============================================================
2026-06-04 21:49:46,030 [INFO] scripts.optimize_target | 已加载 30 组原始回测结果
2026-06-04 21:49:46,030 [INFO] scripts.optimize_target |   [1/30] Sharpe=2.40 收益=44.64% 交易=544
2026-06-04 21:49:46,031 [INFO] scripts.optimize_target |   [2/30] Sharpe=0.27 收益=9.87% 交易=184
2026-06-04 21:49:46,031 [INFO] scripts.optimize_target |   [3/30] Sharpe=-1.94 收益=-18.12% 交易=243
2026-06-04 21:49:46,031 [INFO] scripts.optimize_target |   [4/30] Sharpe=4.40 收益=229.97% 交易=469
2026-06-04 21:49:46,031 [INFO] scripts.optimize_target |   [5/30] Sharpe=1.86 收益=47.67% 交易=746
2026-06-04 21:49:46,031 [INFO] scripts.optimize_target |   [6/30] Sharpe=-1.62 收益=-18.54% 交易=319
2026-06-04 21:49:46,031 [INFO] scripts.optimize_target |   [7/30] Sharpe=4.01 收益=110.67% 交易=529
2026-06-04 21:49:46,031 [INFO] scripts.optimize_target |   [8/30] Sharpe=-1.34 收益=-10.24% 交易=494
